"","session","model"
"6759","6760","B26,B24,B23,B22,B19,P16,P16,P16,P12,P48,B12"
"6760","6761","B10,B10"
"6761","6762","B32,B17,B14"
"6762","6763","A25"
"6763","6764","A20,A21"
"6764","6765","A1,A2"
"6765","6766","P4,C40,P50"
"6766","6767","B4,C5,C33,C41"
"6767","6768","B11,B14,B12,B12,B12"
"6768","6769","P4,P4"
"6769","6770","C31,C32,C46,C14,C13,C15,C16,C31,C14,A4,C40"
"6770","6771","C4"
"6771","6772","C14,C14,C10,B13"
"6772","6773","B3,B24,B25,B23,B9,C6,C11,C29,P4"
"6773","6774","C3,C2,C3,C17,C22,C38,C48,B15,B19,B23,B33,A10"
"6774","6775","A1,A2,A3,A5,A6,A7,A8,A9,A10,A11,A13,A15,A16,A18,A17,B4,A20,A21,A28,A32,A9,A21,C25,A9,A9,A21"
"6775","6776","A9,C5,C17,C49,C55,C59,C58,P82,P61"
"6776","6777","C19,A17,A34,B26"
"6777","6778","A4"
"6778","6779","A5"
"6779","6780","B23"
"6780","6781","P5,P9"
"6781","6782","A10,P1,A3,A1,A17,A9,A6"
"6782","6783","A17,A17,P14,C17,C17"
"6783","6784","P2,P1,A2,A5,A7,A9,A10,A29,A29,A31,A33,A32,A30,A8,A7,A6,A5,A2,A10,A12,A12,A10,A12,A10"
"6784","6785","B1,B17,B16,B1"
"6785","6786","C30,P66,P75,P78,P81"
"6786","6787","C17,C33"
"6787","6788","C29,C51,A7,A2,C51,C49,B2,C9,C10,C35,C49"
"6788","6789","P6,C8,P6,C15,C35,C40,C19,B15,B21,B27"
"6789","6790","A15,C2"
"6790","6791","A6,A11,A2,A7"
"6791","6792","P1,C13,C10,C34,C35,C38,A4"
"6792","6793","A1,A2,A3,A4,A21,A27,A22,A26,A31,A23"
"6793","6794","P1,P2,P3,P4,P6,P7,P8,P9,P10,P11,P23,P48,P49,P39,A13,A16,A21,A33,A28,A30,C13,C34,C34,B30,P3,P3,P14,C38,C44,C44,C37,C36,A31"
"6794","6795","C2"
"6795","6796","P51,P20"
"6796","6797","A1,A13,A14,A15,A19,A20,A21,A33,A39,C35,C49,C50,C59,C59,A39"
"6797","6798","P49,P56,P59,C5,C16"
"6798","6799","A15,A33,A42,P2"
"6799","6800","P15"
"6800","6801","C22,C35"
"6801","6802","P8,C10,C8,P17,P8"
"6802","6803","B5"
"6803","6804","C12,A15,P4,P4,A15,C12"
"6804","6805","P48"
"6805","6806","C12,C1,C2,C34,B4,A16,P15,P30"
"6806","6807","P1"
"6807","6808","P39,C17,C54,A4,A4,A31,P48,P51,P48,A31,A4,B4,A4"
"6808","6809","P13,A12,A26,A34,A32,A39,A39,A38,P12,P4,P3,P8,P18,P17,P23,P25,P55"
"6809","6810","C1,C17,P16,P12,P8,A11"
"6810","6811","P19,P20,P21,P20,P46,P49,P50,P51,P55,P55,P49,P25,P26,B30"
"6811","6812","A7,A11,A14,A18,C51,C46,A41,A28,A31,A33,P5,P4,B24,B25,B12,B11,B10,B14,B8,B7,B6,B9"
"6812","6813","B6,C5"
"6813","6814","C30,C53"
"6814","6815","P1,P52"
"6815","6816","A1"
"6816","6817","A1,A37"
"6817","6818","B10,B13,B19"
"6818","6819","A14,A11"
"6819","6820","A1,A2,A15,A12,A11,A10,A16,A17,A28,A29,A27,A41,B2,B4,B23,B25,B3,C1,C13,C34,C25,C47,C41,C57,C56,B3"
"6820","6821","B26,B24"
"6821","6822","A1,A11,A12,P3,P4,P10,P1,P57,P7,P14,P15"
"6822","6823","A9,A9,C29,C30,C30,C46,P6,P17,C50,C50,B14,B13,B12,B10,C41,B24,B19,B3,B5"
"6823","6824","B5"
"6824","6825","B24"
"6825","6826","B4,A1"
"6826","6827","C2,C31,C13,B10,B13,B23,B24,A31"
"6827","6828","C56,A42,C56,B11,B15,B23,B31"
"6828","6829","A41"
"6829","6830","A27,A31,A28,C14,C17"
"6830","6831","A12,A17,A11,A18,B10,B1,B4,C8,C11,C53,C54,C36,C55,P9,P36,P23,P25"
"6831","6832","B23,P16"
"6832","6833","B10"
"6833","6834","B13,B17,B15,B10,B1"
"6834","6835","A8,A11,C21,C25,C30,C37,C54,C42"
"6835","6836","P3,P1,P1,P13,P23,B2,B4,A4,A4,A12,A23,A19,A27,B4"
"6836","6837","P23,P37,P55,P44"
"6837","6838","B4,B12,B15,A16,C3,C55,A18,A22,P17"
"6838","6839","B4,B1"
"6839","6840","C5"
"6840","6841","A15"
"6841","6842","A13,B2,B1,C31"
"6842","6843","A11"
"6843","6844","B4,C30,C49,C51,A4,B1,B2,B4"
"6844","6845","P14,P21"
"6845","6846","B21,B27"
"6846","6847","B23,B6"
"6847","6848","A13,A33,B7,B4,B3"
"6848","6849","C1"
"6849","6850","P15,P19,P20,P39,P70"
"6850","6851","B11,B29,B31"
"6851","6852","B19,B32"
"6852","6853","A1,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A33,A38,B4,B13,B30,B32,C7,P1,P2,P16,P20,P23,P29,P39,P65,P82"
"6853","6854","B10,B3,B2,B13,B15"
"6854","6855","A33,A21"
"6855","6856","B34,A42"
"6856","6857","P11"
"6857","6858","P4,C17,B2,B9,B10,P15"
"6858","6859","B32,B25,B23"
"6859","6860","P6,P15,P40,P67,P57"
"6860","6861","B3,B3"
"6861","6862","A11"
"6862","6863","A2,A7,A10,A33,P1,P2,P5,P7,P50,P48,P65,P72,P42,P30,P20,P1,P1"
"6863","6864","B3,B12"
"6864","6865","A4,A21,A27,A28,A29,A31,A36,A41,B1,B2,B3,B4,B31,B31,B32,B23,B24,B14,B4,C5,C9,C15,C33,C31,C36,C42,C51,C56,C16,P1,P2,P3,P4,P5,P6,P17,P47,P48,P1,P1"
"6865","6866","B17,B12,P1,P3,P16,P31,P34,P40,A15,A4,A5,A18"
"6866","6867","B24,A4,C49"
"6867","6868","B29,B3"
"6868","6869","B27,A10,A10"
"6869","6870","P12"
"6870","6871","P1"
"6871","6872","B15,B14,C1,A15,P15,C2,C51,C29,C30"
"6872","6873","B4"
"6873","6874","B3"
"6874","6875","C17,C40"
"6875","6876","P47,P49,P48,P57,P70,P60,C15,C12,C16,C21,C33,C46,C48,C53"
"6876","6877","A10,A7,A4,A3"
"6877","6878","B4"
"6878","6879","B2"
"6879","6880","B20,B24,B30,B33,B17,B15,B4,B12,C19"
"6880","6881","A5"
"6881","6882","B8,B14,B11,B11"
"6882","6883","A10,B4,B24,B21,B26,B27,B14,B14,B10,C7,P4,P1,P2,P1,P1,P13,P6,P70,P59,P18,P3,P8,P1,P34,P35,P36,P23"
"6883","6884","B6,B15,B3,P50,P49,P55,P60,B4,B7,B8,C31,C36,C32"
"6884","6885","C6,C16,B25,B26,P16"
"6885","6886","B13"
"6886","6887","C5"
"6887","6888","P10,B20,B20"
"6888","6889","P16,P16"
"6889","6890","B4,A1,A4,A5,B4,A8,P9,P2,P1"
"6890","6891","C7"
"6891","6892","C11,C13,C13,C43,A20"
"6892","6893","C49,A2,A2,A5,A9,A12,A12,A10,A8,A5,A9"
"6893","6894","A17,B1,B4,B3,B13"
"6894","6895","B14,B10,B19,B24,B30,B23,B13"
"6895","6896","A10,A6,A12"
"6896","6897","P71,B27,B26,B30"
"6897","6898","A11,B21"
"6898","6899","A15,A18,A13,A16,A4,C3,A4"
"6899","6900","C14,C13,C16,C10,B19,B31,B31,P1,P16,P16,P42"
"6900","6901","B17"
"6901","6902","A1,A5,A9,C35"
"6902","6903","A15,A11,A2,B3,B13,B10,B33,C6"
"6903","6904","A10"
"6904","6905","C5"
"6905","6906","B24"
"6906","6907","A5"
"6907","6908","P1,P4,P9,C7,C15,C14,B4,B4"
"6908","6909","C5,C17,C10"
"6909","6910","P12,P5,P5,P33,P67,P68"
"6910","6911","C17,C5,C13,C24,C30,C41,C54,C53,C58,C59,C55,P15,P39,P47,P53,P61,P65,P70,P71,P80,P82,P77,P74"
"6911","6912","P23,P26,P52,P82"
"6912","6913","B7,B7,B17"
"6913","6914","P36"
"6914","6915","P6,P16,P20,P21,P20,P48,P42,P60,A1,A2,A5,C34"
"6915","6916","A4,A26"
"6916","6917","B4,B32,B34,B33,B23,B19,B21,B25,A13,A15,C41"
"6917","6918","P23,A4,A6,A11,A10,C5,C8,C34,C40,C48,B32,B27"
"6918","6919","A1,A2,A3,A4,B2,B4,P29"
"6919","6920","B12,B21,B23,B30,P16,P33"
"6920","6921","A11,A19,A21,B9,B3,B28,B19,C11,A28,A41"
"6921","6922","C17,P15"
"6922","6923","A13,C16,C7,C5,C26,C36,C31,C37,A16,A15,A14,A18,A36,A25,A32,B4,B9,P49"
"6923","6924","A8,C50,C49,B4,B3"
"6924","6925","A15,A15,B7,B15"
"6925","6926","A26,C5"
"6926","6927","C11,C5,A14,A38,A19"
"6927","6928","A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A14,A17"
"6928","6929","P12"
"6929","6930","P1"
"6930","6931","A11"
"6931","6932","A12"
"6932","6933","B10,B24,B26,B4,B31,B23"
"6933","6934","C5"
"6934","6935","B4"
"6935","6936","B16,C21,C43"
"6936","6937","B14,B21"
"6937","6938","B4,C1,C24,C48"
"6938","6939","A34,A37,A39,A40,B1,B4,B9,B22,B34,A4"
"6939","6940","A1,A2,A3,A11,A12,A13,A14,A15,A16,A17,A21,A22,A30,A39,C3,C5,C7,C9,C21,C23,C24,C25,C29,C35,C37,C40,C45,C49,C50,C51,C57,B4,B3,B8,B19,B24,B26,B33,B34,P4,P74"
"6940","6941","A4"
"6941","6942","C5"
"6942","6943","C2,C40,C41,C48,A1,A4,A9,A23"
"6943","6944","B1,B9"
"6944","6945","B14,B10,B11"
"6945","6946","B1,B30"
"6946","6947","A8"
"6947","6948","P73,P74,P75,P76,P77,P78,P79,P80,P81,P82"
"6948","6949","B16,B15,B14,B1,B3,B6,A18,A15,A2,C17,C18,C2"
"6949","6950","A4"
"6950","6951","B11,B17,B16,B19,B21,B32,B24"
"6951","6952","C4,C5,C12,C17,C9,C2,C13"
"6952","6953","A14,A15"
"6953","6954","A22,A26"
"6954","6955","C17,C45,C44,C48,C43,B8,B12,B14,B11,B26,B24,B32,A38"
"6955","6956","C36,C53,C42,C42,C38,C5"
"6956","6957","B8"
"6957","6958","A11,A9"
"6958","6959","A4"
"6959","6960","C13,C2,C15,A4,A16"
"6960","6961","A10,A10,A10"
"6961","6962","A1,A2,A3,A4,A5,A10,B1,B2,B3,B4,B5,B23,B4,B22,B3,C1,C2,C3,C3,C4,C5,C19,C2,C3,C20,C21,C22,C23,C8,C37,C38,C39,C40,C42,C43,C44,C45,C55,C56,C57,C58,C59,P1,P2,P3,P4,P5,P6,P20,P1,P19,P21,P23,P25,P26,P27,P37,P38,P39,P40,P41,P42,P43,P44,P45,P55,P56,P57,P58,P59,P60,P61,P62,P63,P73,P74,P75,P76,P77,P78,P80,P81,A10"
"6962","6963","A5"
"6963","6964","B14"
"6964","6965","A1,A10,A11,A8,A11,A1,A10"
"6965","6966","C36,C45,A10,A12,A9"
"6966","6967","P42"
"6967","6968","A6,A5,A5,C10,C14,C14,C18"
"6968","6969","A8,A5,C5,C8"
"6969","6970","C16"
"6970","6971","B30,B32"
"6971","6972","P15"
"6972","6973","A8,A10,A8"
"6973","6974","B10,B26"
"6974","6975","A1,A11,A11,A4,A5,A7,A8,A10,A13,A15,A16,A17,A18,A22,A26,A29,A30,A32,A33,A34,A37,A39,B2,B27,B31,B32,B34,C4,C10,C29,C40,C54,C55,C56,C58,A2,A3,A4,A5,A6,A8,A9,A10,A11,A12,A14,A15,A16,A17,A21,A22,A26,A32,A39,A5"
"6975","6976","A4,A2,A26,C7,A9,A31,A26,A4,A26"
"6976","6977","A23,A24,A25,A26,A27,A28,A28,A29,A35,A36,B32,B31,B30,B28,B23,B19,B24,B25,B26,B25,B26,B27,B16,B17,B15,B12,B1,B2,B3,B4,B5,B6"
"6977","6978","B7,B8,B9,B1,B34,B34,B34,B33,B20,B21,B20,B22,B13,B14,B10,A17"
"6978","6979","B5,B13,B14,B12,B1"
"6979","6980","P56,P57,P58,P59,P60,P69,P66,P48,P1,P12,P30,C5,C6,C7,C9,C29,C34,C38,C51,C51,A21,A28,P18,P14,P57"
"6980","6981","A2,A5,A6,A16,A15,A15,A17,A12,A34,A33,B4,B12,B13,B10,B13,B11,B16,B17,B23,B24,B32,B33,C11,C25,C30,C32,C50,C40,C42,C56,P16"
"6981","6982","A1,A39,C13,C17,C42,P5,P25,P80,P80,A39"
"6982","6983","A5,A15,B13,B14,B15,B15,B19"
"6983","6984","A43,A38,A40,A23"
"6984","6985","B13,P5,P6,P8,P11,P13,P16,P15,P17,P20,P29,P33,P34,P30,P27,P38,P48,P58,P75,C11,P20,C11,C11,C13,C35,A27,A25,A26,A24,A28,A27,A28"
"6985","6986","A1,A3,A5,B4,B8,B6,B3"
"6986","6987","B4,B22,A4,A38,A31,A23,C29"
"6987","6988","B17,B16,B9,P44,P48,A31"
"6988","6989","C9,C5,C19,C19,A10,A21"
"6989","6990","A33,C7,C15"
"6990","6991","A2,A11,A8,A12,A12"
"6991","6992","A1,A11,A8,A10,A34,A1,A6,A12,A37,A12,A5,P26,P82,P76"
"6992","6993","B19"
"6993","6994","C17,C54"
"6994","6995","B21,B31,B32,B13,B10"
"6995","6996","P15"
"6996","6997","A15"
"6997","6998","C29,A2,A14,A8,C6,C40,P2,P5,P23,P43,P50,P72,P73,P74,P49,C26,C36,C29,C29,C33"
"6998","6999","C29,P43,C40"
"6999","7000","B3"
"7000","7001","B17,B4,B10"
"7001","7002","P9,P39,P81,P74,P57,P7,P4,P8,P1,P2,P10,P11,P15,C7,C5,C34,C35,C27,C41,C49,C50,C48,C14,C16,C13,C5,C12,C6,B4,B2,B11,B26,B24,B27,B19,B30,B31,B28,A10,A5,A27,A23,A29,P6"
"7002","7003","A21"
"7003","7004","P15,P14,P50,P47"
"7004","7005","A8,A3,P23"
"7005","7006","B16,B17"
"7006","7007","A3,C35,C42,C55,C56"
"7007","7008","B30,B4,C11"
"7008","7009","A14,B25"
"7009","7010","C12,C8,P6,P3,P10"
"7010","7011","P4,P5,P6,P7,P10,P12,P13,P14,P15,P16,P18"
"7011","7012","B4,B3,B11,B14,B12,C2,C11,C17,C24,C33,A7,A8,P9,P12"
"7012","7013","A15,A11,B17"
"7013","7014","A28,A31,A23,A41"
"7014","7015","P16,C17,C6,C34,C50,C49,A2"
"7015","7016","B23,B19,B25,C19,C42"
"7016","7017","C9,C51,C51,C51,P5"
"7017","7018","P1"
"7018","7019","C56"
"7019","7020","P57"
"7020","7021","P5,P9,P75"
"7021","7022","A12"
"7022","7023","C1,C5,A17,B13,B10,P6"
"7023","7024","P4"
"7024","7025","A17,A13"
"7025","7026","B10,B11,B13,B16,B15,B4,P12"
"7026","7027","P80"
"7027","7028","B29,B9,B1,C21,P15,C17,C58"
"7028","7029","A15,A30,C14"
"7029","7030","B13,B15,B30,B32,B27,B26,C26,C25,C36"
"7030","7031","B5"
"7031","7032","A15"
"7032","7033","C8,A16,A16"
"7033","7034","B24,C40"
"7034","7035","C7,C4,C30,C35,C24,C24,C45,C48,C37,B17,C15,C14,C5"
"7035","7036","C11,C59,A4,A15,A30,B12,B10,B15,B11,B11,P12,P39,P37,P51,P47,P70,P59,P56,P12,B8,B8,C4,C28,C21,C33,C48,C41,A27,A40,A35"
"7036","7037","B5,B12,B22,B31,B34,C25,C30,B34,A13,A22,A29,A27,A42"
"7037","7038","B10,C17,C46"
"7038","7039","A17,A1,A10,A32,A37"
"7039","7040","B1,B4,B17,B25,B32,B31,B26,B9,P15,P59,P65,P82,P23,P26,P71,P63,A13,A41,A15,A4,A29,A28,A21,C9,C10,C29,C29,C32,C51,C50,C51,C51,C55,C57,C58,B1,B25,B26,B27,B24,B32,B32"
"7040","7041","A7"
"7041","7042","B15,B19,A12"
"7042","7043","P14,P15"
"7043","7044","A9,A9,C6"
"7044","7045","B23"
"7045","7046","P23,P50,P74,P77,B32,A4"
"7046","7047","B9"
"7047","7048","C10"
"7048","7049","C8"
"7049","7050","P15,P48,P82"
"7050","7051","C1"
"7051","7052","P14,P8,P15,C5,C29,C24,C46,C40,C17,C6"
"7052","7053","A15"
"7053","7054","C16"
"7054","7055","C38,C48,B10,P1,P39,A11,A30"
"7055","7056","B4,B16,B14,B15,B9"
"7056","7057","B27,A38"
"7057","7058","A2,A17,C29,C25"
"7058","7059","A7,A16"
"7059","7060","C5"
"7060","7061","B10,B19,B26,B24,B31,P35,P20,P21,C2,C5,A5,A4,A6,B30,B24,B32,B23,B21,B31,B19,C19,C5,C15"
"7061","7062","A7"
"7062","7063","C2"
"7063","7064","C46"
"7064","7065","B4"
"7065","7066","A2"
"7066","7067","C1"
"7067","7068","C21,C44"
"7068","7069","A4,A15,B16,A16"
"7069","7070","A10,A13,A17,A15,A31,A26,A19,B10,B4,B9,C9,P6,P33,P34,P23,P37,P45"
"7070","7071","A32,A21,P4,P4,P4"
"7071","7072","P23"
"7072","7073","C9,B30,C18"
"7073","7074","P1,B16,B23,B24"
"7074","7075","C5,C17"
"7075","7076","A23,A38"
"7076","7077","C49,B15,B15,B13,B31,C49"
"7077","7078","A13,A15,A14,A17,A11,A29,A24,A21,A39,B32,B23,B19,C18,C10,C2,C29,C24,C35,C23,C26,C54,C41,C37,C48,C47,C57,A13"
"7078","7079","C5,C4,A2,B1"
"7079","7080","B13,B17,B10,P16,P16,P15,P29,P36,P23,P39,P81,P78,P82,P77,P77,P70,P65,P37,P36,P33,P27,P29,P31,P24,P19,P19,P18,P17,P15,P13,P14,P13,P10,P10,P9,P9,P8,P6,P4,P18,P3,P9,P25,P26,P29,P33,P36,P49,P49,P46,P55,A12,A30,A30,A37,B11,B9,B9,B20,B21,B22,B23,B24,B24,B20,B19,B29,B28,B34,B27,B19,C12,C17,C5,C21,C28,C33,C26,C24,C23,C19,C45,C44,C45,C54,C37,C56,C55,C57,C59,C58,C55"
"7080","7081","C8,C2,C4,B4,B1,B14,B12,B1"
"7081","7082","C8,C14,C13,C12,C32,C30,C28,C48,C39,C40,C50,C46,C56,A1,A2,A3,A3,A5,A6,A13,A14,A15,A32,A24,A35,A42,B15,B11,B23,B26,B30,B29,P3,P6"
"7082","7083","P44,P40,B4,B3"
"7083","7084","B4,B31,B23,B26,B30,B34,B3"
"7084","7085","C1,C9"
"7085","7086","A4,A26,B17,C17,C11,C48,C53,C54,C55,C57,C59,P29,P35,P36,P34,P52,P3,P33,B14"
"7086","7087","A3,A3"
"7087","7088","A1,A5,A6,A11,A13,A15,A22,A21,A39,A37,B14,P7,P1,P13,P23"
"7088","7089","A4,A4,A31,A31,A41"
"7089","7090","B19,C14,C48,C56,P20,P78"
"7090","7091","B31,B30,B32,B27,B14,B3,C33,C35,C34,C11"
"7091","7092","A21,A20"
"7092","7093","A11,A22,B34,C48"
"7093","7094","A1,A5"
"7094","7095","C8,C40"
"7095","7096","B2,B4,P1"
"7096","7097","A2,A5,P15"
"7097","7098","A11,P12"
"7098","7099","B2,B4,A1,B23"
"7099","7100","A4"
"7100","7101","A17,A15,C2,C38,A6,A17,A15,A41,A15,A6,A15,A6,C2,C3,C21,A41,B27,C2,C21,A6,C21"
"7101","7102","A16,A11,A3,B1,B17,C8,A33,B25,P12"
"7102","7103","A2"
"7103","7104","A40"
"7104","7105","A9,A11,A11,A13,A2,A12,A14,A15,B1,B2,B4,B17,B15,C2,C2"
"7105","7106","A9,P8,A9"
"7106","7107","A16,A18"
"7107","7108","P1,P3,P10,P10,P9,P1,P2,P3,P4,P5,P9,P14,A15,B17,B10,C8"
"7108","7109","P6,P30,P37,P40,P41,C4,C30,C35,C48,C46,C24"
"7109","7110","P74,P69"
"7110","7111","A10,A6,A5,A12,A6,A7,A9,A8,A11,A9,A4,A12,A9,C5,C6,C7,C8,C13,C17,C32,C38,C41,C51,C56,C5,C5,A17,A32,A34,A9,A2,A3,A5,A6,A7,A8,A12,A14,A37,A29,A9,A9"
"7111","7112","P16,P9,P9,P9,P20,P20,P49,P49,P56,P56,P70,P70,P70,P70,B8,B12,B17"
"7112","7113","C8,C33,C33,C35,C35,C30,C30,C49,C49,C49,C48,C48,P3,P3,P1,P39,P72,P59,P59,P80,P80,A11,A5,A7,C29,C40"
"7113","7114","B12,A4,P3,P14,B14,B5,C12"
"7114","7115","A10,A5,A18,A9,A7,A5,A9,P2,P1,P6,P18,P8,P13,P23,P34,P5,A17"
"7115","7116","C17,B16,B17,B4"
"7116","7117","B6,B14"
"7117","7118","B10,B12,B13,B25,B25,B21,B21,B24,B30,B33,B33"
"7118","7119","A17,A9,A10,A10,A21,A21,A29,A29,A31,A31,A41,A41,A4,B6,A3,A6,A9,A9,A12,A1,A2,A3,A4,A5,A6,A9,A6,A9,A6,A6,A7,A8,A10,A12,A9,A9,A4,A5,A4,A24,A29,A9,A9,A12,A12,A9,A9"
"7119","7120","A4,A11,C18,C8"
"7120","7121","C2,C4,C15"
"7121","7122","C29,C40,A15,A21,A21,A20,A19,A22,A22,A16,C36,C26"
"7122","7123","A10,A37,B24,B26,A37"
"7123","7124","P60,B27,B24,B32,C5,C27,C26"
"7124","7125","A15,A29,A41,A22,A31,A4,B10,C2,C40,P7,P25,P55,P72,P42,P23,P4,A4"
"7125","7126","C2,A1,A4,A12,A16,P5"
"7126","7127","C6,C49,C40,C57"
"7127","7128","A1,A2,A4,A12,P5,P73,B2,B4,B9,B3,B24,B28,B32,C5,C30"
"7128","7129","P18"
"7129","7130","C19,P61,B22,C14,C17,C16,C19"
"7130","7131","P1,P2,P3,P12,P13,P23,C7,C27,A6,A9,A5,A10,A34"
"7131","7132","B4"
"7132","7133","A4,P80,P82,P74,P72,P72,P71,P55,P60,P48,P20,P19,P18,P5,P1,C36,C54,A2,A5,A8,A41,A21"
"7133","7134","A4,B12,C9,C13,C15,C31,C33,C37,C51,C53,C54,C44,C56"
"7134","7135","B31,B24,B31,B31,B31"
"7135","7136","C35,C32,C49,C49,B13,B10,B4,A13,A13,A14,A16,A2,A2,A18,A6,C5,C29,C21,C19,C30,C50,C50,C49,C56,C56,A13"
"7136","7137","B32,B27,B2,B4,B16,B3,A6,C7,C16,P32,P82,B2,B2"
"7137","7138","P1,B4,P1,P17,P5,P2"
"7138","7139","P1,A12,B24,A3,A10,P49"
"7139","7140","A16"
"7140","7141","B15,B10"
"7141","7142","C18,A15,P16,P6,P3,P17,C34,C35,C49,C46,A42"
"7142","7143","B1,C5"
"7143","7144","B32"
"7144","7145","A1,A1,A2,A2,A2,A3,A3,A5,A5,A7,A7,A11,A11,A6"
"7145","7146","B11,B10,B14,B12,B19,B23"
"7146","7147","P19,P49"
"7147","7148","P12"
"7148","7149","A18,A12,A4,B1,B14,B15,B11,B10,B3,P16,P5,P8,P4,P1,P69"
"7149","7150","C9,C9"
"7150","7151","P6"
"7151","7152","B10,B1,B7,B17"
"7152","7153","B23,B30,B17"
"7153","7154","P12"
"7154","7155","A13,A15,A16,A21,A19,A30,A33,C1,C1,C26"
"7155","7156","A17,A30"
"7156","7157","B1,B7,B16"
"7157","7158","B17"
"7158","7159","A2,A11,A14,A18,A30,A34,B4,C4,C49,P10,P9,P11,P15,P23,P34,P71"
"7159","7160","B10,B14,B14"
"7160","7161","C42,A15,A30"
"7161","7162","C41,P15,P8,C5,C9,A10,A6,A36,A36,A36"
"7162","7163","A8,A14,A4"
"7163","7164","B11"
"7164","7165","C7,C5,C14,C16,C19,C53,C41,A4,A15,A35,A26"
"7165","7166","B24,P1,P39,P51,P67"
"7166","7167","C36,C41"
"7167","7168","P16"
"7168","7169","B16,B17,B15,B23,B31,P1"
"7169","7170","P15,C2,A14,A11"
"7170","7171","B4,B16,B32,B23,A1,A4,A7,A9,A11,A13"
"7171","7172","A1,A8,A8"
"7172","7173","B11,B10,B29,B33,B34,B1"
"7173","7174","B6,B8,B24,B24,A27,A31,A31"
"7174","7175","P1,P2,P5,C13"
"7175","7176","A29,A42,A26,A4,A25,A29,A26,B6,C5"
"7176","7177","A10,A15,A3,A6,A6,C14,C12,C2,C7,C17,C20,C21,C26,C41,C44,C37,C38,B4,B16,B10,B31,B26,A16,A38"
"7177","7178","P16,P30,P57,B15,B17,B26"
"7178","7179","B2,A3,B2"
"7179","7180","A21,C14"
"7180","7181","B10,B11,B13,B15,B19,B26,C17,B26"
"7181","7182","A30"
"7182","7183","B13"
"7183","7184","A9,A8,A1,A14,A5,A4"
"7184","7185","A13,A11,A31,A31,B4,B17,B25,B23,B31,B32,B24,B28,B34,B4,B2,B6,P15,P48,A15,A35,A42,A38"
"7185","7186","P1,P19,P38,P39,P61,P82,P1,P16"
"7186","7187","P1,P14,P6,B4,B23,C2,C5,C12,C23,C35,C49,P16,P20,P33,P27,P51,P48,P65,B23"
"7187","7188","B21,B30"
"7188","7189","A33,A39,B31,P3"
"7189","7190","A6,A11,A12,A30"
"7190","7191","A6,C48,C54,C55,A4"
"7191","7192","A4,A14"
"7192","7193","B14"
"7193","7194","B32"
"7194","7195","A2,A3,A6,A7,B2,B3,P1,P4,P8,P17,P7,P35,P35,P41,P74,P1,P1,C7,C7,B29,B31,B26,A2,C16,C15,C17,A4,A5,A26,A31,A31,A31,A41,A21"
"7195","7196","A24,A24,B6,B5,B5"
"7196","7197","B10,B14,B26,B22"
"7197","7198","C7,C10,C27,C38,B11,B4,C8"
"7198","7199","B24,B32,C41"
"7199","7200","A11,A11"
"7200","7201","A15,B10,B11,B13,B15,B16,C12,C11,C15,A13,A16,A15"
"7201","7202","A9"
"7202","7203","A1"
"7203","7204","C3"
"7204","7205","A17,A18,P13"
"7205","7206","A17"
"7206","7207","P23,C24,C15"
"7207","7208","B32"
"7208","7209","A13,A6,A11,B13"
"7209","7210","A14,A3,A12,A9,A8,B31,P14"
"7210","7211","A15,B15,C18"
"7211","7212","B1,B30,B24,B32,B31,C13,C11,C32,C57,P15,P19,P26,P45,P51,A18,A34,A22,A37"
"7212","7213","B6,B27,B28"
"7213","7214","B2"
"7214","7215","B8,B7,B30,B8"
"7215","7216","A29,A32"
"7216","7217","C7,C5,C16,C12"
"7217","7218","P80"
"7218","7219","A13"
"7219","7220","P4,A15,B4,B3,B3,B16,B11,B11,B10,C5,C6,C11,P12"
"7220","7221","B23,B24,B4,B12,B15"
"7221","7222","P1,P6,P8,C18,C18,C11,C8,C4,C4,C18"
"7222","7223","A15"
"7223","7224","C33,C25,C24,C53,P16,B23"
"7224","7225","B15,B15,B10,B13,B23,B19,B30,B31,B32"
"7225","7226","B16,B15,B1"
"7226","7227","A11,A12,A11,A12,A10,A12,A12,A10,A12,A10,A12,B3,A12,A10,A12,A9,A5,A14,A8,A6,A6,A12,C59,C55,C56"
"7227","7228","C40"
"7228","7229","B12"
"7229","7230","P12,P15,P10,P5,P9,P18,P17,P25,P19,P26,P36,P29,P39,P43,P67,P64,P74,B24,P9,P10,P12,B10,C12"
"7230","7231","B16,B24,C49"
"7231","7232","B4"
"7232","7233","A13,A13,A21,A33,A31,A32,A33,A33,A33,A11,A16,A12,A21,A33,A31,A30,A33,A31,C29,C33,C36,C57,C57,A21,A33,A11,A31,A21,A31,A13,A21,A31,A33,A31,A31"
"7233","7234","P15,P15,C21,B29,B4,B33,B34,B28,C48,C53,C54,A2,A4,A11,A8,A15,A15,A20,A38,C3,C17,C10,C12,C13,C7,C18,P6,P15,P8,C21"
"7234","7235","B10,B11,B14,B14"
"7235","7236","A4,A15,B27,B24,B4"
"7236","7237","P5,C1,C3,C11,C14,P44,P51,P46,B4,B7,B17,A28"
"7237","7238","B25,B24,B29,B33,B32,B1"
"7238","7239","A14,A11,A15"
"7239","7240","B19"
"7240","7241","P35"
"7241","7242","A26,A41"
"7242","7243","B33,B17"
"7243","7244","B2"
